osm_type,osm_id,category,name,name_ar,lat,lon,building_area_m2,addr_full,addr_city,operator,capacity,raw_tags,capacity_estimate,capacity_source,display_name,pm2_5,pm10,carbon_monoxide,ozone,nitrogen_dioxide,sulphur_dioxide,us_aqi,observation_time
way,323730926,place_of_worship,مسجد قرية جبل مكسن,,36.66963136,6.857275680000001,1952.6669921875,,,,,"{""addr:street"": ""Voie Rapide Skikda-El Harrouch"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""مسجد قرية جبل مكسن"", ""religion"": ""muslim""}",1952,calculated_from_area,مسجد قرية جبل مكسن,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323731120,school,ابتدائية بلكحلة الضيف,,36.67078116666666,6.857792183333333,3339.246337890625,,,,,"{""addr:street"": ""Voie Rapide Skikda-El Harrouch"", ""amenity"": ""school"", ""name"": ""ابتدائية بلكحلة الضيف"", ""name:fr"": ""Primaire Belkahla Daif""}",1669,calculated_from_area,ابتدائية بلكحلة الضيف,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323812206,school,ابتدائية سحقي أحمد,,36.72992947272727,6.862617627272727,3679.23046875,,,,,"{""amenity"": ""school"", ""name"": ""ابتدائية سحقي أحمد"", ""name:fr"": ""Primaire Sahki Ahmed""}",1839,calculated_from_area,ابتدائية سحقي أحمد,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323834951,school,اكمالية شارف علي,اكمالية شارف علي,36.70350862222222,6.857918144444444,4196.10888671875,,salah Bouchaour,,,"{""addr:city"": ""salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع بوحادرة فوضيل"", ""amenity"": ""school"", ""name:ar"": ""اكمالية شارف علي"", ""name:fr"": ""CEM Charef Ali""}",2098,calculated_from_area,اكمالية شارف علي,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323837158,school,ابتدائية عبد الحميد بن باديس,ابتدائية عبد الحميد بن باديس,36.70385623333333,6.858354593333333,4558.027587890625,,,,,"{""amenity"": ""school"", ""name:ar"": ""ابتدائية عبد الحميد بن باديس"", ""name:fr"": ""Primaire Abdelhamid Ben Badis""}",2279,calculated_from_area,ابتدائية عبد الحميد بن باديس,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323837540,school,ابتدائية الامير عبد القادر,ابتدائية الامير عبد القادر,36.70408892,6.858423159999999,1460.76513671875,,,,,"{""amenity"": ""school"", ""name:ar"": ""ابتدائية الامير عبد القادر"", ""name:fr"": ""Primaire El Emir Abdelkader""}",730,calculated_from_area,ابتدائية الامير عبد القادر,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323844066,health_facility,المؤسسة العمومية للصحة الجوارية سيدي مزغيش,,36.70492738,6.85959486,702.20703125,,salah Bouchaour,,,"{""addr:city"": ""salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع الكوتي علاوة"", ""amenity"": ""clinic"", ""building"": ""yes"", ""name"": ""المؤسسة العمومية للصحة الجوارية سيدي مزغيش""}",20,default_estimate_non_shelter,المؤسسة العمومية للصحة الجوارية سيدي مزغيش,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323844791,health_facility,المركز الطبي متعدد الخدمات,المركز الطبي متعدد الخدمات,36.70467806,6.8592556,515.175048828125,,salah Bouchaour,,,"{""addr:city"": ""salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع الكوتي علاوة"", ""amenity"": ""clinic"", ""building"": ""yes"", ""name:ar"": ""المركز الطبي متعدد الخدمات"", ""name:fr"": ""Centre Médical Multi-Services""}",20,default_estimate_non_shelter,المركز الطبي متعدد الخدمات,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323845774,place_of_worship,مسجد الفرقان,مسجد الفرقان,36.70377296428571,6.860213464285715,2265.480224609375,,salah Bouchaour,,,"{""addr:city"": ""salah Bouchaour"", ""addr:postcode"": ""21022"", ""amenity"": ""place_of_worship"", ""denomination"": ""sunni"", ""name:ar"": ""مسجد الفرقان"", ""name:fr"": ""Mosquée El Forqan"", ""religion"": ""muslim""}",2265,calculated_from_area,مسجد الفرقان,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323846370,place_of_worship,مسجد العربي التبسي,مسجد العربي التبسي,36.69987114285714,6.857599357142857,1680.29833984375,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""طريق إمجاز الدشيش"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""sunni"", ""name:ar"": ""مسجد العربي التبسي"", ""name:fr"": ""Mosquée de Larbi Tbessi"", ""religion"": ""muslim""}",1680,calculated_from_area,مسجد العربي التبسي,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323853189,school,ثانوية محمد بلوزداد,ثانوية محمد بلوزداد,36.70107147142857,6.857889185714286,5175.982666015625,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع بوحادرة فوضيل"", ""amenity"": ""school"", ""name:ar"": ""ثانوية محمد بلوزداد"", ""name:fr"": ""Lycée Mohamed Belouizdad""}",2587,calculated_from_area,ثانوية محمد بلوزداد,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323853717,school,متوسطة صالح بوالشعور مركز,,36.704350871428574,6.853934257142858,5381.357177734375,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع زغدودي العربي"", ""amenity"": ""school"", ""name"": ""متوسطة صالح بوالشعور مركز"", ""name:fr"": ""CEM Salah Bouchaour Centre"", ""wheelchair"": ""yes""}",2690,calculated_from_area,متوسطة صالح بوالشعور مركز,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323853887,school,ابتدائية السكة الحديدية,,36.70410426,6.85283106,2828.58349609375,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع السكة الحديدية"", ""amenity"": ""school"", ""name"": ""ابتدائية السكة الحديدية"", ""name:fr"": ""Primaire de Chemin de Fer""}",1414,calculated_from_area,ابتدائية السكة الحديدية,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323854528,school,ابتدائية سعد حجال,,36.70704594,6.856987599999999,3679.637451171875,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع بوحادرة فوضيل"", ""amenity"": ""school"", ""name"": ""ابتدائية سعد حجال"", ""name:fr"": ""Primaire Saad Hadjal""}",1839,calculated_from_area,ابتدائية سعد حجال,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323854891,school,مدرسة ابتدائية,,36.70795518,6.859261139999999,2080.54052734375,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""شارع 20 أوت 1955"", ""amenity"": ""school"", ""isced:level"": ""1"", ""name"": ""مدرسة ابتدائية"", ""name:fr"": ""École primaire""}",1040,calculated_from_area,مدرسة ابتدائية,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,323906910,school,متوسطة توفوتي سليمان,متوسطة توفوتي سليمان,36.699932366666665,6.860861216666667,8101.220947265625,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""Voie Rapide Skikda-El Harrouch"", ""amenity"": ""school"", ""name:ar"": ""متوسطة توفوتي سليمان"", ""name:fr"": ""CEM Toufouti Slimane""}",4050,calculated_from_area,متوسطة توفوتي سليمان,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,324109626,school,ثانوية صالح بوالشعور الجديدة,ثانوية صالح بوالشعور الجديدة,36.70069806,6.860884919999999,10242.229736328123,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""addr:street"": ""Voie Rapide Skikda-El Harrouch"", ""amenity"": ""school"", ""name:ar"": ""ثانوية صالح بوالشعور الجديدة"", ""name:fr"": ""École secondaire""}",5121,calculated_from_area,ثانوية صالح بوالشعور الجديدة,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,324109920,school,ابتدائية محمد بوعمامة,ابتدائية محمد بوعمامة,36.69882994,6.85451948,1361.447998046875,,,,,"{""amenity"": ""school"", ""name:ar"": ""ابتدائية محمد بوعمامة""}",680,calculated_from_area,ابتدائية محمد بوعمامة,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,324110064,school,ابتدائية المفرزة,ابتدائية المفرزة,36.69796597142857,6.856266228571428,6560.240478515625,,Salah Bouchaour,,,"{""addr:city"": ""Salah Bouchaour"", ""addr:postcode"": ""21022"", ""amenity"": ""school"", ""name:ar"": ""ابتدائية المفرزة""}",3280,calculated_from_area,ابتدائية المفرزة,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,324113075,place_of_worship,مسجد الاحسان,مسجد الاحسان,36.7312294,6.864357180000001,1618.42041015625,,Cité Sahki Ahmed,,,"{""addr:city"": ""Cité Sahki Ahmed"", ""addr:postcode"": ""21022"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""sunni"", ""name:ar"": ""مسجد الاحسان"", ""religion"": ""muslim""}",1618,calculated_from_area,مسجد الاحسان,12.0,18.1,145.0,122.0,2.7,2.1,55,2026-08-16T15:00
way,324294402,place_of_worship,Mosquée Abdurrahman Ibn Awf,مسجد عبد الرحمن بن عوف,36.35060656363636,6.649095436363637,1846.1787109375,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""denomination"": ""sunni"", ""name"": ""Mosquée Abdurrahman Ibn Awf"", ""name:ar"": ""مسجد عبد الرحمن بن عوف"", ""name:fr"": ""Mosquée Abdurrahman Ibn Awf"", ""religion"": ""muslim""}",1846,calculated_from_area,Mosquée Abdurrahman Ibn Awf,9.7,21.0,127.0,104.0,0.9,0.7,59,2026-08-16T15:00
way,324298140,health_facility,Clinique du rein,,36.35649683076923,6.639559738461538,5460.21337890625,,,,,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Clinique du rein""}",20,default_estimate_non_shelter,Clinique du rein,9.7,21.0,127.0,104.0,0.9,0.7,59,2026-08-16T15:00
way,324300287,place_of_worship,Mosquée Mossaab,مسجد مصعب بن عمير,36.3537866,6.6456047,1439.75927734375,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""name"": ""Mosquée Mossaab"", ""name:ar"": ""مسجد مصعب بن عمير"", ""religion"": ""muslim""}",1439,calculated_from_area,Mosquée Mossaab,9.7,21.0,127.0,104.0,0.9,0.7,59,2026-08-16T15:00
way,324345947,school,,,36.2631792,5.343142114285714,3206.7625732421875,,,,,"{""amenity"": ""school""}",1603,calculated_from_area,مدرسة رقم 273,11.3,27.4,122.0,94.0,0.7,0.5,60,2026-08-16T15:00
way,324346102,school,,,36.26478763636364,5.3465764,3543.2008056640625,,,,,"{""amenity"": ""school""}",1771,calculated_from_area,مدرسة رقم 274,11.3,27.4,122.0,94.0,0.7,0.5,60,2026-08-16T15:00
way,324346866,health_facility,قاعة علاج,قاعة علاج,36.27748238,5.49598638,195.6260986328125,,,,,"{""amenity"": ""clinic"", ""building"": ""yes"", ""name"": ""قاعة علاج"", ""name:ar"": ""قاعة علاج"", ""name:fr"": ""Salle de traitement""}",20,default_estimate_non_shelter,قاعة علاج,11.3,27.4,122.0,94.0,0.7,0.5,60,2026-08-16T15:00
way,324346904,school,,,36.2780678,5.496173433333333,5584.1290283203125,,,,,"{""amenity"": ""school""}",2792,calculated_from_area,مدرسة رقم 275,11.3,27.4,122.0,94.0,0.7,0.5,60,2026-08-16T15:00
way,324349977,place_of_worship,Mosquée Al Kawthar,مسجد الكوثر,36.198093,5.4077850750000005,1960.20556640625,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Mosquée Al Kawthar"", ""name:ar"": ""مسجد الكوثر"", ""religion"": ""muslim""}",1960,calculated_from_area,Mosquée Al Kawthar,13.5,24.6,111.0,93.0,0.5,0.4,57,2026-08-16T15:00
way,324350040,school,,,36.19838245,5.40886911,4575.262939453125,,,,,"{""amenity"": ""school""}",2287,calculated_from_area,مدرسة رقم 276,13.5,24.6,111.0,93.0,0.5,0.4,57,2026-08-16T15:00
way,324350436,school,CEM Frères Bennaoui,متوسطة الإخوة بناوي,36.19751655,5.408148042857143,8455.13818359375,,,,,"{""amenity"": ""school"", ""isced:level"": ""2"", ""name"": ""CEM Frères Bennaoui"", ""name:ar"": ""متوسطة الإخوة بناوي""}",4227,calculated_from_area,CEM Frères Bennaoui,13.5,24.6,111.0,93.0,0.5,0.4,57,2026-08-16T15:00
way,324456091,place_of_worship,Mosquée Errahma,,36.35880476,6.63935148,656.0126953125,,Constantine,,,"{""addr:city"": ""Constantine"", ""addr:postcode"": ""25000"", ""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""denomination"": ""sunni"", ""name"": ""Mosquée Errahma"", ""religion"": ""muslim""}",656,calculated_from_area,Mosquée Errahma,9.7,21.0,127.0,104.0,0.9,0.7,59,2026-08-16T15:00
way,324456110,place_of_worship,,,36.370874057142856,6.635679828571428,553.046875,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""muslim""}",553,calculated_from_area,مسجد رقم 460,9.7,21.0,127.0,104.0,0.9,0.7,59,2026-08-16T15:00
way,324534503,school,متوسطة بومعزة,متوسطة بومعزة,36.34771955555556,6.653749655555555,7116.951416015625,,,,,"{""amenity"": ""school"", ""name:ar"": ""متوسطة بومعزة"", ""name:fr"": ""École élémentaire""}",3558,calculated_from_area,متوسطة بومعزة,9.7,21.0,127.0,104.0,0.9,0.7,59,2026-08-16T15:00
